year_week,creator
2020-07-27/2020-08-02,99198
2020-08-03/2020-08-09,174518
2020-08-10/2020-08-16,167033
2020-08-17/2020-08-23,163251
2020-08-24/2020-08-30,149861
2020-08-31/2020-09-06,204627
2020-09-07/2020-09-13,154389
2020-09-14/2020-09-20,142415
2020-09-21/2020-09-27,137994
2020-09-28/2020-10-04,150240
2020-10-05/2020-10-11,147817
2020-10-12/2020-10-18,195231
2020-10-19/2020-10-25,186381
2020-10-26/2020-11-01,188466
2020-11-02/2020-11-08,917723
2020-11-09/2020-11-15,1771119
2020-11-16/2020-11-22,1062927
2020-11-23/2020-11-29,760060
2020-11-30/2020-12-06,598952
2020-12-07/2020-12-13,532408
2020-12-14/2020-12-20,455747
2020-12-21/2020-12-27,374942
2020-12-28/2021-01-03,306388
2021-01-04/2021-01-10,620485
2021-01-11/2021-01-17,12153
